age,job,marital,education,balance,housing,loan,contact,day,month,duration
58,management,married,tertiary,2143,yes,no,unknown,5,may,261
44,technician,single,secondary,29,yes,no,unknown,5,may,151
33,entrepreneur,married,secondary,2,yes,yes,unknown,5,may,76
47,blue-collar,married,unknown,1506,yes,no,unknown,5,may,92
33,unknown,single,unknown,1,no,no,unknown,5,may,198
35,management,married,tertiary,231,yes,no,unknown,5,may,139
28,management,single,tertiary,447,yes,yes,unknown,5,may,217
42,entrepreneur,divorced,tertiary,2,yes,no,unknown,5,may,380
58,retired,married,primary,121,yes,no,unknown,5,may,50
43,technician,single,secondary,593,yes,no,unknown,5,may,55
41,admin.,divorced,secondary,270,yes,no,unknown,5,may,222
29,admin.,single,secondary,390,yes,no,unknown,5,may,137
53,technician,married,secondary,6,yes,no,unknown,5,may,517
58,technician,married,unknown,71,yes,no,unknown,5,may,71
57,services,married,secondary,162,yes,no,unknown,5,may,174
51,retired,married,primary,229,yes,no,unknown,5,may,353
45,admin.,single,unknown,13,yes,no,unknown,5,may,98
57,blue-collar,married,primary,52,yes,no,unknown,5,may,38
60,retired,married,primary,60,yes,no,unknown,5,may,219
33,services,married,secondary,0,yes,no,unknown,5,may,54
28,blue-collar,married,secondary,723,yes,yes,unknown,5,may,262
56,management,married,tertiary,779,yes,no,unknown,5,may,164
32,blue-collar,single,primary,23,yes,yes,unknown,5,may,160
25,services,married,secondary,50,yes,no,unknown,5,may,342
40,retired,married,primary,0,yes,yes,unknown,5,may,181
44,admin.,married,secondary,-372,yes,no,unknown,5,may,172
39,management,single,tertiary,255,yes,no,unknown,5,may,296
52,entrepreneur,married,secondary,113,yes,yes,unknown,5,may,127
46,management,single,secondary,-246,yes,no,unknown,5,may,255
36,technician,single,secondary,265,yes,yes,unknown,5,may,348
57,technician,married,secondary,839,no,yes,unknown,5,may,225
49,management,married,tertiary,378,yes,no,unknown,5,may,230
60,admin.,married,secondary,39,yes,yes,unknown,5,may,208
59,blue-collar,married,secondary,0,yes,no,unknown,5,may,226
51,management,married,tertiary,10635,yes,no,unknown,5,may,336
57,technician,divorced,secondary,63,yes,no,unknown,5,may,242
25,blue-collar,married,secondary,-7,yes,no,unknown,5,may,365
53,technician,married,secondary,-3,no,no,unknown,5,may,1666
36,admin.,divorced,secondary,506,yes,no,unknown,5,may,577
37,admin.,single,secondary,0,yes,no,unknown,5,may,137
44,services,divorced,secondary,2586,yes,no,unknown,5,may,160
50,management,married,secondary,49,yes,no,unknown,5,may,180
60,blue-collar,married,unknown,104,yes,no,unknown,5,may,22
54,retired,married,secondary,529,yes,no,unknown,5,may,1492
58,retired,married,unknown,96,yes,no,unknown,5,may,616
36,admin.,single,primary,-171,yes,no,unknown,5,may,242
58,self-employed,married,tertiary,-364,yes,no,unknown,5,may,355
44,technician,married,secondary,0,yes,no,unknown,5,may,225
55,technician,divorced,secondary,0,no,no,unknown,5,may,160
29,management,single,tertiary,0,yes,no,unknown,5,may,363
54,blue-collar,married,secondary,1291,yes,no,unknown,5,may,266
48,management,divorced,tertiary,-244,yes,no,unknown,5,may,253
32,management,married,tertiary,0,yes,no,unknown,5,may,179
42,admin.,single,secondary,-76,yes,no,unknown,5,may,787
24,technician,single,secondary,-103,yes,yes,unknown,5,may,145
38,entrepreneur,single,tertiary,243,no,yes,unknown,5,may,174
38,management,single,tertiary,424,yes,no,unknown,5,may,104
47,blue-collar,married,unknown,306,yes,no,unknown,5,may,13
40,blue-collar,single,unknown,24,yes,no,unknown,5,may,185
46,services,married,primary,179,yes,no,unknown,5,may,1778
32,admin.,married,tertiary,0,yes,no,unknown,5,may,138
53,technician,divorced,secondary,989,yes,no,unknown,5,may,812
57,blue-collar,married,primary,249,yes,no,unknown,5,may,164
33,services,married,secondary,790,yes,no,unknown,5,may,391
49,blue-collar,married,unknown,154,yes,no,unknown,5,may,357
51,management,married,tertiary,6530,yes,no,unknown,5,may,91
60,retired,married,tertiary,100,no,no,unknown,5,may,528
59,management,divorced,tertiary,59,yes,no,unknown,5,may,273
55,technician,married,secondary,1205,yes,no,unknown,5,may,158
35,blue-collar,single,secondary,12223,yes,yes,unknown,5,may,177
57,blue-collar,married,secondary,5935,yes,yes,unknown,5,may,258
31,services,married,secondary,25,yes,yes,unknown,5,may,172
54,management,married,secondary,282,yes,yes,unknown,5,may,154
55,blue-collar,married,primary,23,yes,no,unknown,5,may,291
43,technician,married,secondary,1937,yes,no,unknown,5,may,181
53,technician,married,secondary,384,yes,no,unknown,5,may,176
44,blue-collar,married,secondary,582,no,yes,unknown,5,may,211
55,services,divorced,secondary,91,no,no,unknown,5,may,349
49,services,divorced,secondary,0,yes,yes,unknown,5,may,272
55,services,divorced,secondary,1,yes,no,unknown,5,may,208
45,admin.,single,secondary,206,yes,no,unknown,5,may,193
47,services,divorced,secondary,164,no,no,unknown,5,may,212
42,technician,single,secondary,690,yes,no,unknown,5,may,20
59,admin.,married,secondary,2343,yes,no,unknown,5,may,1042
46,self-employed,married,tertiary,137,yes,yes,unknown,5,may,246
51,blue-collar,married,primary,173,yes,no,unknown,5,may,529
56,admin.,married,secondary,45,no,no,unknown,5,may,1467
41,technician,married,secondary,1270,yes,no,unknown,5,may,1389
46,management,divorced,secondary,16,yes,yes,unknown,5,may,188
57,retired,married,secondary,486,yes,no,unknown,5,may,180
42,management,single,secondary,50,no,no,unknown,5,may,48
30,technician,married,secondary,152,yes,yes,unknown,5,may,213
60,admin.,married,secondary,290,yes,no,unknown,5,may,583
60,blue-collar,married,unknown,54,yes,no,unknown,5,may,221
57,entrepreneur,divorced,secondary,-37,no,no,unknown,5,may,173
36,management,married,tertiary,101,yes,yes,unknown,5,may,426
55,blue-collar,married,secondary,383,no,no,unknown,5,may,287
60,retired,married,tertiary,81,yes,no,unknown,5,may,101
39,technician,married,secondary,0,yes,no,unknown,5,may,203
46,management,married,tertiary,229,yes,no,unknown,5,may,197
44,blue-collar,married,secondary,-674,yes,no,unknown,5,may,257
53,blue-collar,married,primary,90,no,no,unknown,5,may,124
52,blue-collar,married,primary,128,yes,no,unknown,5,may,229
59,blue-collar,married,primary,179,yes,no,unknown,5,may,55
27,technician,single,tertiary,0,yes,no,unknown,5,may,400
44,blue-collar,married,secondary,54,yes,no,unknown,5,may,197
47,technician,married,tertiary,151,yes,no,unknown,5,may,190
34,admin.,married,secondary,61,no,yes,unknown,5,may,21
59,retired,single,secondary,30,yes,no,unknown,5,may,514
45,management,married,tertiary,523,yes,no,unknown,5,may,849
29,services,divorced,secondary,31,yes,no,unknown,5,may,194
46,technician,divorced,secondary,79,no,no,unknown,5,may,144
56,self-employed,married,primary,-34,yes,yes,unknown,5,may,212
36,blue-collar,married,primary,448,yes,no,unknown,5,may,286
59,retired,divorced,primary,81,yes,no,unknown,5,may,107
44,blue-collar,married,secondary,144,yes,no,unknown,5,may,247
41,admin.,married,secondary,351,yes,no,unknown,5,may,518
33,management,single,tertiary,-67,yes,no,unknown,5,may,364
59,management,divorced,tertiary,262,no,no,unknown,5,may,178
57,technician,married,primary,0,no,no,unknown,5,may,98
56,technician,divorced,unknown,56,yes,no,unknown,5,may,439
51,blue-collar,married,secondary,26,yes,no,unknown,5,may,79
34,admin.,married,unknown,3,yes,no,unknown,5,may,120
43,services,married,secondary,41,yes,yes,unknown,5,may,127
52,technician,married,tertiary,7,no,yes,unknown,5,may,175
33,technician,single,secondary,105,yes,no,unknown,5,may,262
29,admin.,single,secondary,818,yes,yes,unknown,5,may,61
34,services,married,secondary,-16,yes,yes,unknown,5,may,78
31,blue-collar,married,secondary,0,yes,no,unknown,5,may,143
55,services,married,secondary,2476,yes,no,unknown,5,may,579
55,management,married,unknown,1185,no,no,unknown,5,may,677
32,admin.,single,secondary,217,yes,no,unknown,5,may,345
38,technician,single,secondary,1685,yes,no,unknown,5,may,185
55,admin.,single,secondary,802,yes,yes,unknown,5,may,100
28,unemployed,single,tertiary,0,yes,no,unknown,5,may,125
23,blue-collar,married,secondary,94,yes,no,unknown,5,may,193
32,technician,single,secondary,0,yes,no,unknown,5,may,136
43,services,single,unknown,0,no,no,unknown,5,may,73
32,blue-collar,married,secondary,517,yes,no,unknown,5,may,528
46,blue-collar,married,secondary,265,yes,no,unknown,5,may,541
53,housemaid,divorced,primary,947,yes,no,unknown,5,may,163
34,self-employed,single,secondary,3,yes,no,unknown,5,may,301
57,unemployed,married,tertiary,42,no,no,unknown,5,may,46
37,blue-collar,married,secondary,37,yes,no,unknown,5,may,204
59,blue-collar,married,secondary,57,yes,no,unknown,5,may,98
33,services,married,secondary,22,yes,no,unknown,5,may,71
56,blue-collar,divorced,primary,8,yes,no,unknown,5,may,157
48,unemployed,married,secondary,293,yes,no,unknown,5,may,243
43,services,married,primary,3,yes,no,unknown,5,may,186
54,blue-collar,married,primary,348,yes,no,unknown,5,may,579
51,blue-collar,married,unknown,-19,yes,no,unknown,5,may,163
26,student,single,secondary,0,yes,no,unknown,5,may,610
40,management,married,tertiary,-4,yes,no,unknown,5,may,2033
39,management,married,secondary,18,yes,no,unknown,5,may,85
50,technician,married,primary,139,no,no,unknown,5,may,114
41,services,married,secondary,0,yes,no,unknown,5,may,114
51,blue-collar,married,unknown,1883,yes,no,unknown,5,may,57
60,retired,divorced,secondary,216,yes,no,unknown,5,may,238
52,blue-collar,married,secondary,782,yes,no,unknown,5,may,93
48,blue-collar,married,secondary,904,yes,no,unknown,5,may,128
48,services,married,unknown,1705,yes,no,unknown,5,may,107
39,technician,single,tertiary,47,yes,no,unknown,5,may,181
47,services,single,secondary,176,yes,no,unknown,5,may,303
40,blue-collar,married,secondary,1225,yes,no,unknown,5,may,558
45,technician,married,secondary,86,yes,no,unknown,5,may,270
26,admin.,single,secondary,82,yes,no,unknown,5,may,228
52,management,married,tertiary,271,yes,no,unknown,5,may,99
54,technician,married,secondary,1378,yes,no,unknown,5,may,240
54,admin.,married,tertiary,184,no,no,unknown,5,may,673
50,blue-collar,married,primary,0,no,no,unknown,5,may,233
35,blue-collar,married,secondary,0,yes,no,unknown,5,may,1056
44,services,married,secondary,1357,yes,yes,unknown,5,may,250
53,entrepreneur,married,unknown,19,yes,no,unknown,5,may,252
35,retired,single,primary,434,no,no,unknown,5,may,138
60,admin.,divorced,secondary,92,yes,no,unknown,5,may,130
53,admin.,divorced,secondary,1151,yes,no,unknown,5,may,412
48,unemployed,married,secondary,41,yes,no,unknown,5,may,179
34,technician,married,secondary,51,yes,no,unknown,5,may,19
54,services,married,secondary,214,yes,no,unknown,5,may,458
51,management,married,secondary,1161,yes,no,unknown,5,may,717
31,services,married,tertiary,37,yes,no,unknown,5,may,313
35,technician,divorced,secondary,787,yes,no,unknown,5,may,683
35,services,married,secondary,59,yes,no,unknown,5,may,1077
